publishedAt,platfrom,authorDisplayName,likeCount,textDisplay,label
23/05/2025,youtube,@zidnyknight3611,0,terima kasih,Positif
30/04/2025,youtube,@adiutomo6894,0,kasih emaknya fee emak masak emaknya bagi,Negatif
29/04/2025,youtube,@funfujii,0,pola pikir repot nikah niat niat selenggara tempo jang singkat singkatnja siap teliti surveynya basis pertanggungjawabannya you are wasting so much money just for nothing there is nothing we do if the program turned to be shitty the money has been spent kerja vendor cadang dana nahan dipikirin makan anak loh jakarta jawa doang management resiko jelek mon maap nonton video rilis as we know so many vendors are unpaid children just got bites of chicken lots of spoiled food where is the nutrition bicara gizi yah gizi has left the chatroom,Netral
27/04/2025,youtube,@dlepor9delpor,0,teman bahas program viral meme sosial media internet gratis makan gratis sekolah gratis lebih baik makan gratis alesannya its easier rakyat perbaikin fucked up meal fucked up internet schools program perintah indonesia gagal,Positif
23/04/2025,youtube,@handhi4761,0,woye butuh didik gratis makan gratis mana generasi sekolah sekolah mahal daftar sd swasta minimal juta mikir nkri harga mati,Negatif
08/04/2025,youtube,@rezaibrahim8285,1,tajem objektif profesional prabowo pilpres pimpin awas kritik suka sosok prabowo hati nurani beliau tulus rakyat terlepaas kritik tolong masyarakat objektif lihat latar warna darimana tuju menguntungka rakyat rilis react diskusi jurnalis terima kasih,Netral
06/04/2025,youtube,@Hs-ti8kh,0,deddy corbuzzer,Netral
02/04/2025,youtube,@hafidzassalih,0,kocak bgn bentuk agustus panji,Positif
28/03/2025,youtube,@alf7047,0,pdip blunderwo tolak masyarakat mahasiswa nilai pdip perangkap adu domba jwagar pecah jelang munassuara pdip hancur oposan eleganwelkam new kkn orba tuntut stop korupsi kolusi nepotisme dwi fungsi tni ulang kah,Negatif
25/03/2025,youtube,@imamnegara5927,0,dedi bego asli,Positif
18/03/2025,youtube,@Aneh-Tapi-Nyata-007,0,anggar lengkap anak sekolah alat tulis buku seragam sekolah batik olaraga sepatu tas sekolah jangka tahun biaya transportasi anak sekolah salah alas anak sekolah urus kurang gizi rumah rumah anak anak mebutuhkan gizi biaya bahan bahan masak atur garam anak makan mbg sekolah salah alas anak alergi makan contoh daging ayam dan lain lain makan khusus alas masakan alat masak gaji koki koki distribusi sekolah anak anak sekolah kurang gizi kaum miskin butuh salah cegah sasar anak sekolah sakit nikmat,Negatif
08/03/2025,youtube,@nebulaharis,0,terima kasih cerita optimis jalan hidup,Negatif
07/03/2025,youtube,@DhikaFnB,0,ngebuka mindset lihat kulit kerja panji,Positif
04/03/2025,youtube,@MaulanaMalau-g3r,0,bela petinggi atur salah pihak jilat gratis hit jilat,Negatif
27/02/2025,youtube,@easygoing4964,0,ide realistis sasar,Positif
27/02/2025,youtube,@bangeman1699,0,mbg masak langsung sekolah kayak luar negri kuatir masakan lambat basi rata bagi,Negatif
27/02/2025,youtube,@stevanezaradikirana2790,0,beda kelas cerdas pandji cahyadi pandji kritik bela cerdas substantif dalam motif program beda program program jahat program tolol santai pikir cahyadi dangkal angkuh emosional mikir natur komentar arah komentar bodoh nama buzzer kerja,Negatif
27/02/2025,youtube,@stevanezaradikirana2790,0,perintah maksimal kerja layak asupan gizi pada kerja hilang biaya hidup naik perintah traktir makan siang anak indonesia kondisi kkn kasih makan gizi gratis fokus tahap daerah t kasih alokasi lagipula target turun stunting sasar anak usia sd hamil sasar,Negatif
26/02/2025,youtube,@stevanyaudrey9714,0,wkwkwkw tertawa laku si cahyadi haduh maaf kocak bat,Negatif
26/02/2025,youtube,@dedenardiansyah4105,0,bahas enak enak menue sedia catering sekolah sekolah total box x komen enak puluh sekolah maksa ubah menu menuhin appetite puluh analogi sample keluarga bisnis alami,Negatif
26/02/2025,youtube,@yusufcad1399,0,pas bicara cahyadi ketawa nular tertawa,Positif
26/02/2025,youtube,@khofidarabywahyudi1724,0,om ded hibur khalayan becanda abang pandji,Positif
25/02/2025,youtube,@STEVEE_27,0,tuju turun stunting efektif deng,Negatif
25/02/2025,youtube,@rizqianantia2024,0,dengerin headset ruang tunggu rs susah nahan menang nahan ketawa,Negatif
20/02/2025,youtube,@satukolam,0,masyarakat butuh makan gerat masyarakat butuh ekonomi jangkau kerja membiyayyai anak makan gerat alih pupuk tani makmur tani bahan pokok makan murah,Negatif
19/02/2025,youtube,@YudiMic,0,mbc tu anak sd aja tuju galang dukung,Negatif
17/02/2025,youtube,@happycreature3993,0,ending tertawa,Negatif
16/02/2025,youtube,@HerlizaArtika-e9p,0,habis uang gaji meter wamen stafsus coba meter wajar usa stafsus dana gaji alokasi program adalannya makan gratis makan gratis manusiawi,Negatif
15/02/2025,youtube,@dutchboy-bo2mn,2,bicara stunting balita kasi makan anak taon,Negatif
15/02/2025,youtube,@enhaaduapat,0,anak alergi bahan masakan makan alergi ayam alergi ikan dan lain lain perintah mikir situ yaa hiks,Negatif
14/02/2025,youtube,@rizrahmani,0,mbg maju kocak ah,Negatif
14/02/2025,youtube,@jendguevara2859,0,terimah kasih member ijinin reales youtube abang panjdi sehat sukses slu,Positif
14/02/2025,youtube,@jendguevara2859,0,dedy corbuzer nunjuk kamera ktwa abang smpe sakit perut gara abg wkwkw,Negatif
14/02/2025,youtube,@andiatsalsyanahkri1773,0,the context is not political will the will is be a will the is the policy making rationality stunting definisi anak usia menkes budi gunadi sadikin once said anak stunting sakit stadium lambat makan gizi gratis bagi anak sd umur kisar menu makan mas panji program apple to apple dibandingin bpjs dp dsb sebut kali tuju makan gizi gratis koreksi lanjut program anggar triliun juni rencana butuh tambah triliun laksana harap siswa pinter bicara makan enak well rather be wrong act of peduli or simply ignorant,Negatif
14/02/2025,youtube,@naufalghanimusyaffa1499,0,mas panji,Positif
13/02/2025,youtube,@ferycasanova989,0,kondisi makan siang gratis program sampah program kondisi,Positif
13/02/2025,youtube,@blackbeard8227,0,uckszu wh gy mb dv ujung ksify lzfolm akanydqag,Negatif
13/02/2025,youtube,@srar-rasyid1378,0,angka romawi jam dinding kayak sesuai ketawa cuman nanyak salpok ketawa,Positif
