Nomor Induk Mahasiswa (NIM),Timestamp,Program Studi,Saran
1,7/3/2024 8:09:53,Prodi Teknik Pertambangan,saran prodi buka sempat kerja sama usaha usaha tambang harus usaha besar nanti kerja sama mahasiswa ingin kerja praktik tugas akhir sempat gabung usaha sebut ada beberapa mahasiswa tambang sulit cari usaha kerja praktik tugas akhir mahasiswa telah selesai studi nya kampus tarik kerja usaha sebut kesan senang sempat jadi bagi mahasiswa tambang universitas islam negeribanyak giat giat positif mulai himpun laksana giat kuliah lapang banyak lain komentar kurikulum silabus rencana tambang usaha ajar guna software minescape spray software lain belum ajar kampus
8,6/4/2024 11:34:16,Kimia,tingkat kuliah dosen tamu isi profesional alumni
14,6/26/2024 14:36:05,Kimia,kurikulum diinput materi kait soft skills yg guna kerja nanti utama kait leadership communication problem solving skills
17,6/26/2024 14:43:08,Kimia,banyak sekali ilmu alam bapak ibu dosen maupun teman lingkung kampus sangat nyaman itu fasilitas lengkap sangat dukung mudah mahasiswa giat ajar moga walaupun mahasiswa lulus prodi kimia kampus uin moga pihak kampus utama prodi beri ruang para alumni karier tuang kompetensi
19,6/26/2024 14:45:32,Kimia,lebih update lingkung kerja luar bila memang mau kerja punya kompetensi saing bila lanjut studi program kerjasama dengan antar universitas luar negeri
22,6/26/2024 14:49:43,Kimia,terima kasih semua tim dosen beri ilmu baik akademik maupun alam hidup tetap semangat cetak lulus baik fakultas sains tekonologi khusus prodi kimia
24,6/26/2024 15:01:53,Kimia,sukses selalu prodi kimia fakultas sains tekonologi uin
27,6/26/2024 15:22:42,Kimia,program magang pkl wajib prodi sangat bantu untuk lebih cepat adaptasi dunia kerja lebih baik jika guna instrumen gcms hplc laku praktikum di kampus di fasilitas sertifikat ahli guna instrumen sebut terimakasih 
31,6/26/2024 16:14:26,Matematika,materi ajar bapak ibu dosen ikan lama proses kuliah sarjana sangat bantu dalam lanjut studi moga prodi matematika fakultas sains tekonologi terus kembang jadi lebih baik
32,6/26/2024 16:16:25,Matematika,lebih banyak waktu praktek luar kampus dapat alam lebih lama lapang kerja
38,6/26/2024 17:12:49,Kimia,lama ada fakultas sains tekonologi utama prodi kimia sangat tekan kembang ilmu lalu kuliah umum lain alangkah baik banyak kerjasama latih kerja prodi kimia lingkung kerja misal sistem managemen laboratorium dsb
40,6/26/2024 17:43:43,Kimia,kurikulum kuliah baik teori maupun praktek sesuai butuh industri saya gelut
